exp_key,ds_name,train_samples,train_dim,test_samples,test_dim,hc_name,fold,algo_name,J,hc_cat_encoder,other_cat_encoder,measure,performance
GBDT_Adult_native-country_0_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,0.0,GBDT,42.0,one-hot,TargetEncoder,AUC,0.7822632881345414
GBDT_Adult_native-country_0_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,0.0,GBDT,42.0,one-hot,TargetEncoder,Accuracy,0.8678768852794649
GBDT_Adult_native-country_0_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,0.0,GBDT,42.0,one-hot,TargetEncoder,Precision,0.7741235995663173
GBDT_Adult_native-country_0_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,0.0,GBDT,42.0,one-hot,TargetEncoder,Recall,0.6203301476976543
GBDT_Adult_native-country_0_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,0.0,GBDT,42.0,one-hot,TargetEncoder,F1,0.6887459807073956
GBDT_Adult_native-country_0_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,0.0,GBDT,42.0,one-hot,TargetEncoder,Aver_precision,0.5696819400156583
GBDT_Adult_native-country_0_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,0.0,GBDT,42.0,one-hot,TargetEncoder,Balanced_accuracy,0.7822632881345415
GBDT_Adult_native-country_0_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,0.0,GBDT,42.0,one-hot,TargetEncoder,train_time(s),7.0511651039123535
GBDT_Adult_native-country_0_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,0.0,GBDT,42.0,one-hot,TargetEncoder,pred_time(s),0.025899171829223633
GBDT_Adult_native-country_1_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,1.0,GBDT,42.0,one-hot,TargetEncoder,AUC,0.7820979618954232
GBDT_Adult_native-country_1_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,1.0,GBDT,42.0,one-hot,TargetEncoder,Accuracy,0.8675356582269842
GBDT_Adult_native-country_1_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,1.0,GBDT,42.0,one-hot,TargetEncoder,Precision,0.7858432647165041
GBDT_Adult_native-country_1_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,1.0,GBDT,42.0,one-hot,TargetEncoder,Recall,0.6174801362088536
GBDT_Adult_native-country_1_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,1.0,GBDT,42.0,one-hot,TargetEncoder,F1,0.691562053074845
GBDT_Adult_native-country_1_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,1.0,GBDT,42.0,one-hot,TargetEncoder,Aver_precision,0.5772374194847594
GBDT_Adult_native-country_1_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,1.0,GBDT,42.0,one-hot,TargetEncoder,Balanced_accuracy,0.7820979618954234
GBDT_Adult_native-country_1_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,1.0,GBDT,42.0,one-hot,TargetEncoder,train_time(s),6.850653648376465
GBDT_Adult_native-country_1_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,1.0,GBDT,42.0,one-hot,TargetEncoder,pred_time(s),0.022934436798095703
GBDT_Adult_native-country_2_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,2.0,GBDT,42.0,one-hot,TargetEncoder,AUC,0.780626009798117
GBDT_Adult_native-country_2_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,2.0,GBDT,42.0,one-hot,TargetEncoder,Accuracy,0.8659660137855729
GBDT_Adult_native-country_2_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,2.0,GBDT,42.0,one-hot,TargetEncoder,Precision,0.7915766738660908
GBDT_Adult_native-country_2_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,2.0,GBDT,42.0,one-hot,TargetEncoder,Recall,0.6135602678571429
GBDT_Adult_native-country_2_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,2.0,GBDT,42.0,one-hot,TargetEncoder,F1,0.6912920465262495
GBDT_Adult_native-country_2_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,2.0,GBDT,42.0,one-hot,TargetEncoder,Aver_precision,0.5801998895839044
GBDT_Adult_native-country_2_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,2.0,GBDT,42.0,one-hot,TargetEncoder,Balanced_accuracy,0.780626009798117
GBDT_Adult_native-country_2_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,2.0,GBDT,42.0,one-hot,TargetEncoder,train_time(s),7.252660036087036
GBDT_Adult_native-country_2_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,2.0,GBDT,42.0,one-hot,TargetEncoder,pred_time(s),0.023882150650024414
GBDT_Adult_native-country_3_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,3.0,GBDT,42.0,one-hot,TargetEncoder,AUC,0.7856316779915254
GBDT_Adult_native-country_3_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,3.0,GBDT,42.0,one-hot,TargetEncoder,Accuracy,0.8686958302054187
GBDT_Adult_native-country_3_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,3.0,GBDT,42.0,one-hot,TargetEncoder,Precision,0.7853328586685653
GBDT_Adult_native-country_3_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,3.0,GBDT,42.0,one-hot,TargetEncoder,Recall,0.6254607314998583
GBDT_Adult_native-country_3_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,3.0,GBDT,42.0,one-hot,TargetEncoder,F1,0.696338383838384
GBDT_Adult_native-country_3_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,3.0,GBDT,42.0,one-hot,TargetEncoder,Aver_precision,0.581347051519122
GBDT_Adult_native-country_3_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,3.0,GBDT,42.0,one-hot,TargetEncoder,Balanced_accuracy,0.7856316779915253
GBDT_Adult_native-country_3_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,3.0,GBDT,42.0,one-hot,TargetEncoder,train_time(s),6.850743532180786
GBDT_Adult_native-country_3_42_one-hot,Adult,34189.0,54.0,14653.0,54.0,native-country,3.0,GBDT,42.0,one-hot,TargetEncoder,pred_time(s),0.021852731704711914
GBDT_Adult_native-country_4_42_one-hot,Adult,34189.0,53.0,14653.0,53.0,native-country,4.0,GBDT,42.0,one-hot,TargetEncoder,AUC,0.7788539973600942
GBDT_Adult_native-country_4_42_one-hot,Adult,34189.0,53.0,14653.0,53.0,native-country,4.0,GBDT,42.0,one-hot,TargetEncoder,Accuracy,0.8643281239336654
GBDT_Adult_native-country_4_42_one-hot,Adult,34189.0,53.0,14653.0,53.0,native-country,4.0,GBDT,42.0,one-hot,TargetEncoder,Precision,0.7688729874776387
GBDT_Adult_native-country_4_42_one-hot,Adult,34189.0,53.0,14653.0,53.0,native-country,4.0,GBDT,42.0,one-hot,TargetEncoder,Recall,0.615582927527929
GBDT_Adult_native-country_4_42_one-hot,Adult,34189.0,53.0,14653.0,53.0,native-country,4.0,GBDT,42.0,one-hot,TargetEncoder,F1,0.6837416481069042
GBDT_Adult_native-country_4_42_one-hot,Adult,34189.0,53.0,14653.0,53.0,native-country,4.0,GBDT,42.0,one-hot,TargetEncoder,Aver_precision,0.5648904254144549
GBDT_Adult_native-country_4_42_one-hot,Adult,34189.0,53.0,14653.0,53.0,native-country,4.0,GBDT,42.0,one-hot,TargetEncoder,Balanced_accuracy,0.7788539973600942
GBDT_Adult_native-country_4_42_one-hot,Adult,34189.0,53.0,14653.0,53.0,native-country,4.0,GBDT,42.0,one-hot,TargetEncoder,train_time(s),6.447777509689331
GBDT_Adult_native-country_4_42_one-hot,Adult,34189.0,53.0,14653.0,53.0,native-country,4.0,GBDT,42.0,one-hot,TargetEncoder,pred_time(s),0.022913694381713867
GBDT_Colleges_Carnegie Basic Classification_0_34_one-hot,Colleges,5462.0,57.0,2342.0,57.0,Carnegie Basic Classification,0.0,GBDT,34.0,one-hot,TargetEncoder,AUC,0.8085668194868046
GBDT_Colleges_Carnegie Basic Classification_0_34_one-hot,Colleges,5462.0,57.0,2342.0,57.0,Carnegie Basic Classification,0.0,GBDT,34.0,one-hot,TargetEncoder,Accuracy,0.852263023057216
GBDT_Colleges_Carnegie Basic Classification_0_34_one-hot,Colleges,5462.0,57.0,2342.0,57.0,Carnegie Basic Classification,0.0,GBDT,34.0,one-hot,TargetEncoder,Precision,0.8133971291866029
GBDT_Colleges_Carnegie Basic Classification_0_34_one-hot,Colleges,5462.0,57.0,2342.0,57.0,Carnegie Basic Classification,0.0,GBDT,34.0,one-hot,TargetEncoder,Recall,0.6901217861975643
GBDT_Colleges_Carnegie Basic Classification_0_34_one-hot,Colleges,5462.0,57.0,2342.0,57.0,Carnegie Basic Classification,0.0,GBDT,34.0,one-hot,TargetEncoder,F1,0.746705710102489
GBDT_Colleges_Carnegie Basic Classification_0_34_one-hot,Colleges,5462.0,57.0,2342.0,57.0,Carnegie Basic Classification,0.0,GBDT,34.0,one-hot,TargetEncoder,Aver_precision,0.6591227551732626
